id,name,description,country,region,city,locality,latitude,longitude,category,subcategory,rating,review_count,popularity_score,estimated_visit_duration,entry_fee,currency,opening_hours,best_time_to_visit,family_friendly,wheelchair_accessible,indoor_outdoor,estimated_cost,source,source_url
p001,Arashiyama Bamboo Grove,Serene bamboo paths and riverside scenery,Japan,Kansai,Kyoto,Arashiyama,35.0173,135.6713,Nature,Forest,4.7,18700,92,120,0,JPY,05:00-17:00,Early morning,true,false,Outdoor,0,Demo,https://www.japan.travel/
p002,Alfama Viewpoint,Layered city views over Lisbon rooftops,Portugal,Lisbon,Lisbon,Alfama,38.7139,-9.1301,Culture,Viewpoint,4.6,9200,85,60,0,EUR,Open daily,Sunset,true,false,Outdoor,0,Demo,https://www.visitlisboa.com/
p003,Chefchaouen Medina,Blue-washed lanes and artisan markets,Morocco,Tangier-Tetouan,Chefchaouen,Medina,35.1688,-5.2636,Culture,Old Town,4.8,6400,78,180,0,MAD,Open daily,Spring,true,false,Outdoor,15,Demo,https://www.visitmorocco.com/
p004,Plitvice Lakes National Park,Turquoise lakes connected by wooden walkways,Croatia,Lika-Senj,Plitvice Lakes,Park,44.8654,15.5820,Nature,Lakes,4.9,32000,96,300,40,EUR,07:00-20:00,May-September,true,false,Outdoor,25,Demo,https://np-plitvicka-jezera.hr/
p005,La Boqueria Market,Colorful food market off La Rambla,Spain,Catalonia,Barcelona,La Rambla,41.3817,2.1711,Food,Market,4.5,28300,91,90,0,EUR,08:00-20:30,Weekday mornings,true,true,Indoor,22,Demo,https://www.boqueria.barcelona/
p006,Queenstown Skyline,Mountain gondola and panoramic adventure views,New Zealand,Otago,Queenstown,Ben Lomond, -45.0312,168.6626,Adventure,Viewpoint,4.8,12000,88,180,69,NZD,09:30-20:30,Summer,true,true,Outdoor,95,Demo,https://www.queenstownnz.co.nz/
p007,St. Paul's Cathedral,Historic dome and panoramic city landmark,United Kingdom,England,London,City of London,51.5138,-0.0984,History,Cathedral,4.6,15800,89,120,25,GBP,08:30-16:30,Weekdays,true,true,Indoor,30,Demo,https://www.stpaulscathedral.org.uk/
p008,Jiufen Old Street,Mountain village known for tea houses and lanterns,Taiwan,New Taipei,New Taipei,Jiufen,25.1096,121.8456,Culture,Old Town,4.5,21200,86,150,0,TWD,Open daily,After rain,true,false,Outdoor,20,Demo,https://eng.taiwan.net.tw/
p009,Reykjavik Food Walk,Local seafood and Nordic tasting route,Iceland,Capital Region,Reykjavik,Center,64.1466,-21.9426,Food,Restaurant,4.7,3800,78,70,1500,ISK,11:00-21:00,Year-round,true,true,Indoor,80,Demo,https://visitreykjavik.is/
p010,Grand Bazaar,Historic covered market with thousands of shops,Turkey,Istanbul,Istanbul,Fatih,41.0108,28.9680,Shopping,Market,4.4,41000,95,180,0,TRY,08:30-19:00,Weekday mornings,true,false,Indoor,25,Demo,https://www.visitistanbul.com/
p011,Fushimi Inari Shrine,Shinto shrine known for its thousands of vermilion torii gates,Japan,Kansai,Kyoto,Fushimi,34.9671,135.7727,Culture,Shrine,4.7,28000,94,150,0,JPY,Open daily,Early morning,true,false,Outdoor,0,Reference,https://inari.jp/en/
p012,Kiyomizu-dera,Historic Buddhist temple with a wooden stage overlooking Kyoto,Japan,Kansai,Kyoto,Higashiyama,34.9949,135.7850,Culture,Temple,4.7,21000,93,120,400,JPY,06:00-18:00,Early morning,true,true,Outdoor,0,Reference,https://www.kiyomizudera.or.jp/en/
p013,Nishiki Market,Historic covered food market in central Kyoto,Japan,Kansai,Kyoto,Nakagyo,35.0050,135.7653,Food,Market,4.4,15000,86,120,0,JPY,10:00-18:00,Weekday morning,true,true,Indoor,25,Reference,https://www.japan.travel/en/uk/spot/1177/
